id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage,scientificName,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,species,subspecies,variety,nameStatus,inSummary
48460,,Life,life,stateofmatter,https://inaturalist-open-data.s3.amazonaws.com/photos/347064198/medium.jpeg,,,,unknown,,,,,,,,,
47126,48460,Plantae,Plants,kingdom,https://static.inaturalist.org/photos/221143410/medium.jpeg,,,,unknown,,,,,,,,,
211194,47126,Tracheophyta,Vascular Plants,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/301768574/medium.jpg,,,,unknown,,,,,,,,,
47125,211194,Angiospermae,flowering plants,subphylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6943609/medium.jpg,,,,unknown,,,,,,,,,
47623,211194,Lycopodiopsida,Lycophytes,class,https://static.inaturalist.org/photos/18290374/medium.jpg,,,,unknown,,,,,,,,,
121943,211194,Polypodiopsida,Ferns,class,https://inaturalist-open-data.s3.amazonaws.com/photos/383134769/medium.jpg,,,,unknown,,,,,,,,,
136329,211194,Pinopsida,conifers,class,https://inaturalist-open-data.s3.amazonaws.com/photos/8663621/medium.jpg,,,,unknown,,,,,,,,,
47124,47125,Magnoliopsida,Dicots,class,https://inaturalist-open-data.s3.amazonaws.com/photos/223281963/medium.jpg,,,,unknown,,,,,,,,,
47163,47125,Liliopsida,monocots,class,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg,,,,unknown,,,,,,,,,
47375,136329,Pinales,conifers,order,https://inaturalist-open-data.s3.amazonaws.com/photos/170033792/medium.jpg,,,,unknown,,,,,,,,,
47622,47623,Lycopodiales,clubmosses and firmosses,order,https://inaturalist-open-data.s3.amazonaws.com/photos/250128745/medium.jpg,,,,unknown,,,,,,,,,
58769,47623,Selaginellales,Spikemosses,order,https://inaturalist-open-data.s3.amazonaws.com/photos/1910623/medium.jpg,,,,unknown,,,,,,,,,
60113,47623,Isoetales,Quillwort order,order,https://static.inaturalist.org/photos/62761189/medium.jpg,,,,unknown,,,,,,,,,
47123,47124,Fabales,"Legumes, Milkworts, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/73034071/medium.jpg,,,,unknown,,,,,,,,,
47132,47124,Rosales,"Roses, Elms, Figs, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/11763754/medium.jpg,,,,unknown,,,,,,,,,
47162,47163,Poales,"grasses, sedges, cattails, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/54589881/medium.jpg,,,,unknown,,,,,,,,,
47181,47124,Ericales,"Heathers, Balsams, Primroses, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/121441132/medium.jpeg,,,,unknown,,,,,,,,,
47195,47124,Cornales,"dogwoods, hydrangeas, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/79182087/medium.jpg,,,,unknown,,,,,,,,,
47218,47163,Asparagales,"Agaves, Orchids, Irises, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/272455964/medium.jpg,,,,unknown,,,,,,,,,
47329,47163,Liliales,"lilies, supplejacks, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/274224/medium.jpg,,,,unknown,,,,,,,,,
47363,47124,Gentianales,"Gentians, Dogbanes, Madders, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/6232/medium.jpg,,,,unknown,,,,,,,,,
47366,47124,Caryophyllales,"pinks, cactuses, and allies",order,https://static.inaturalist.org/photos/606031199/medium.jpg,,,,unknown,,,,,,,,,
47374,47375,Cupressaceae,cypress family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/164349061/medium.jpg,,,,unknown,,,,,,,,,
47540,47124,Celastrales,staff-vines and allies,order,https://inaturalist-open-data.s3.amazonaws.com/photos/31231998/medium.jpg,,,,unknown,,,,,,,,,
47556,47375,Taxaceae,yew family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/12117252/medium.jpeg,,,,unknown,,,,,,,,,
47562,47375,Pinaceae,pine family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/275129245/medium.jpg,,,,unknown,,,,,,,,,
47605,47124,Asterales,"Sunflowers, Bellflowers, Fanflowers, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/355753987/medium.jpg,,,,unknown,,,,,,,,,
47621,47622,Lycopodiaceae,Clubmosses and Firmosses,family,https://inaturalist-open-data.s3.amazonaws.com/photos/101326007/medium.jpg,,,,unknown,,,,,,,,,
47690,47124,Geraniales,"geraniums, bridal wreaths, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/70283238/medium.jpg,,,,unknown,,,,,,,,,
47729,47124,Sapindales,"Soapberries, Cashews, Mahoganies, and Allies",order,https://static.inaturalist.org/photos/58699945/medium.jpg,,,,unknown,,,,,,,,,
47748,121943,Equisetales,horsetails,order,https://inaturalist-open-data.s3.amazonaws.com/photos/20163/medium.jpg,,,,unknown,,,,,,,,,
47754,121943,Polypodiales,"",order,https://inaturalist-open-data.s3.amazonaws.com/photos/76066835/medium.jpg,,,,unknown,,,,,,,,,
47791,47124,Myrtales,"myrtles, evening primroses, and allies",order,https://static.inaturalist.org/photos/42561347/medium.jpeg,,,,unknown,,,,,,,,,
47853,47124,Fagales,"beeches, oaks, walnuts, and allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/2305595/medium.JPG,,,,unknown,,,,,,,,,
48073,47163,Alismatales,"Aroids, Water Plantains, Seagrass, and allies",order,https://static.inaturalist.org/photos/107900/medium.jpg,,,,unknown,,,,,,,,,
48151,47124,Lamiales,"Mints, Plantains, Olives, and Allies",order,https://inaturalist-open-data.s3.amazonaws.com/photos/45809243/medium.jpeg,,,,unknown,,,,,,,,,
